ColorID,Skill Name,Description,Ships,Retrofit?,Augment?,Fate?
Yellow[25],All-Knowledgeable Appraiser,"When the battle starts, if there are any other ships in your Vanguard: increases this ship's SPD by 10. Every 20s after the battle starts: targets 2 random ships in your fleet and grants them a buff for 8s based on their hull classification;DD: increases TRP by 3.5% (8%);
CL, CA, or CB: increases FP by 3.5% (8%);
BB, BC, or BBV: increases ACC by 3.5% (8%);
CV or CVL: increases AVI by 3.5% (8%);
any other hull classification: increases AA by 3.5% (8%).",Ting An,,,
Yellow[26],Ammunition Command,When the fleet this ship is in is Out of Ammo: decreases the effect of the DMG debuff by 5% (15%).,Gloucester,,,
Yellow[27],An Idol's Ambitions,"When this ship fires her #3 (2) wave of Torpedoes in a battle: increases all enemies' DMG taken by 5% (15%) for 5s. After this effect activates, when this ship fires her Torpedoes: decreases this ship's DMG taken by 3.5% (8%) until the end of the battle (can be stacked 2 times).",Haruka Amami,,,
Yellow[28],An Opener to Our Friends,"For every 2 enemies this ship sinks: increases this ship's AA by 1% (10%) for the duration of the battle (can be stacked up to 3 times). Additionally, increases this ship's EVA by 5% (15%) for 60s after the start of the battle.",Dido µ,,,
Yellow[29],An Shan Name Ship,Increase Firepower and Accuracy by 10% (25%) and Evasion by 4% (10%) for all An Shan-class destroyers in your fleet (including this ship).,An Shan,,,
Yellow[30],An Shan Name Ship+,"Increase Firepower, Accuracy and Torpedo by 10% (25%) and Evasion by 4% (10%) for all An Shan-class destroyers in your fleet (including this ship).
(Replaces ""An Shan Name Ship"")",An Shan,Needs Retrofit,,
Yellow[31],Answerer of Prayers,"When this ship fires her Main Guns: this ship takes DMG equal to 3% of her max HP and fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). 3s after this barrage was fired, up until 3s after this ship's next Main Gun volley: targets a random META ship in your fleet and increases that ship's DMG dealt by 3.5% (8%); if this ship is your Flagship, any ship in your fleet becomes eligible for this buff.",Queen Elizabeth META,,,
Yellow[32],Anthem of Beloved Freedom,"Increases this ship's FP and ACC by 5% (15%). While this ship is afloat: increases your Iris Libre and Vichya Dominion ships' FP, TRP, AVI, and RLD by 3.5% (8%) and, every 40s (20s), restores 1% of those ships' max HP.",Marseillaise,,,
Yellow[33],Anti-Air Command: Cruisers,Increase Anti-Air of cruisers in the same fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Atlanta,,,
Yellow[34],Anti-Air Command: Main Fleet,Increase your main fleet's AA stat by 5% (15%). Does not stack with other command skills that have similar effect.,Bogue,Needs Retrofit,,
Yellow[35],Anti-Air Command: Vanguard,Increases the AA of your Vanguard by 5% (15%). Does not stack with other Command skills with similar effect.,Curacoa,Needs Retrofit,,
Yellow[36],Arbiter of Z,"At the start of the battle, if there is an Iris Libre or Vichya Dominion CL or CA in your fleet: increases this ship's FP and EVA by 5% (15%), and increase FP and AA by 3.5% (8%) for all your Iris Libre and Vichya Dominion CLs and CAs.",Tartu,,,
Yellow[37],Aria of Alacrity,"When the battle starts, increases this ship's SPD by 3 and EVA by 1% (10%). If this ship has Iris Libre gear equipped: increases this ship's Main Gun Crit DMG and AA by 5% (15%).",Brest,,,
Yellow[38],Armored Carrier,"When this ship launches an airstrike, apply an HP barrier on each ship in your vanguard. The barrier can absorb up to 5% (10%) of this ship's maximum HP and lasts for up to 8s.",Illustrious,,,
Yellow[39],Armored Carrier+,When this ship launches an airstrike: fires a special barrage (DMG is based on the skill's level). When this ship launches an airstrike: deploys protective barriers around all ships in your Vanguard. The barriers can absorb up to 5% (10%) of this ship's max HP and last for 8s. When a barrier is destroyed rather than expiring: the ship whose barrier was destroyed recovers 3% of her max HP.,Illustrious,,Needs Augment,
Yellow[40],Arms Enchantment,"Increases this ship's EVA by 5% (15%). Increases this ship's DMG dealt (by up to 20%) the lower her current HP is. Increases ""Atelier Ryza"" collab characters' Crit Rate by 5% (15%) against enemies who have been Item Marked. The first time one of your Main Fleet ""Atelier Ryza"" collab characters uses an AP-consuming skill: increases that skill's power.",Patricia Abelheim,,,
Yellow[41],Artillery Command - Sims,"Increases your DDs' FP by 5% (15%) (does not stack with other ""Artillery Command"" skills). Every 10s: fires a Lv.1 (Lv.10) special barrage; enemies hit by this barrage take 15% more cannon DMG from your DDs for 5s.",Sims,,Needs Augment,
Yellow[42],Artillery Command: Cruisers,Increases Firepower of Cruisers in the fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Brooklyn,,,
Yellow[43],Artillery Command: Cruisers,Increases Firepower of Cruisers in the fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Leander,,,
Yellow[44],Artillery Command: Cruisers,Increases Firepower of Cruisers in the fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Northampton,,,
Yellow[45],Artillery Command: Cruisers,Increases Firepower of Cruisers in the fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Richmond,,,
Yellow[46],Artillery Command: Cruisers,Increases Firepower of Cruisers in the fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Wichita,,,
Yellow[47],Artillery Command: Destroyers,Increases Firepower of Destroyers in the same fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Agano,,,
Yellow[48],Artillery Command: Destroyers,Increases Firepower of Destroyers in the same fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Grenville,,,
Yellow[49],Artillery Command: Destroyers,Increases Firepower of Destroyers in the same fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Sims,,,
Yellow[50],Artillery Command: Main Fleet,Increases Firepower of the Main Fleet by 5% (15%). Does not stack with other command skills that have similar effect.,Hyuuga,,,
Yellow[51],Artillery Command: Vanguard,Increases the FP of your Vanguard by 5% (15%). Does not stack with any other Artillery Command skill.,London,,,
Yellow[52],Artillery Command: Vanguard,Increases the FP of your Vanguard by 5% (15%). Does not stack with any other Artillery Command skill.,Newcastle,Needs Retrofit,,
Yellow[53],Artillery Command: Vanguard,Increases the FP of your Vanguard by 5% (15%). Does not stack with any other Artillery Command skill.,Shropshire,Needs Retrofit,,
Yellow[54],Artillery Overload,"Every 10s: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). When the battle starts, if there are any other Eagle Union ships in your fleet: when this barrage activates, performs a scan, marking 1 enemy and increasing that enemy's DMG taken by 4% (10%) from all types of Cruisers in your Vanguard for 10s.",Northampton II,,,
Yellow[55],Ashen Might - Helena,"Activates Ashen Might - Helena I (II) once every 15 (10) times the Main Guns are fired. Additionally, in Operation Siren, when fighting humanoid Siren fleets or Boss fleets, increase your Vanguard's damage dealt by 3% (5%).",Helena META,,,
Yellow[56],Ashen Might - Renown,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: increases this ship's FP and AA by 5% (8%).,Renown META,,,
Yellow[57],Ashen Might - Repulse,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: increases this ship's FP and RLD by 5% (8%).,Repulse META,,,
Yellow[58],Ashen Might - Scharnhorst,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: increases this ship's FP and ACC by 5% (8%).,Scharnhorst META,,,
Yellow[59],Ashen Might - Sheffield,Every 12 (8) times this ship fires her Main Guns: fires a special barrage.,Sheffield META,,,
Yellow[60],Ashen Might·Hiryuu,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: this ship deals 3% (8%) more DMG.,Hiryuu META,,,
Yellow[61],Assault Order,"Every 20s: 25% chance to increase the DMG of your entire fleet by 5% (25%) for 8s. Does not stack with the same skill.
DMG boost applies only to the fleet this ship is in.",Cleveland,,,
Yellow[62],Assault Order,"Every 20s: 25% chance to increase the DMG of your entire fleet by 5% (25%) for 8s. Does not stack with the same skill.
DMG boost applies only to the fleet this ship is in.",Kent,,,
Yellow[63],Audacious Challenger,"Increase this ship's EVA by 5% (15%) during the first 45s of the battle. As long as this ship is afloat, increase FP by 1% (10%) and AA by 5% (15%) for all Sardegnia Empire vanguard ships, and decrease damage taken by all Zara-class ships (including this ship) by 6%.",Pola,,,
Yellow[64],Auspice of the Stars,"When this ship finishes loading its Airstrike: decreases the Speed of all enemies by 15% (30%) for 4s and randomly activates one of the following effects:Decreases all enemies' EVA by 5% (15%) for 10s.
For 10s, increases your Vanguard's DMG dealt by 5% (15%) and decreases your Main Fleet's DMG taken by 4% (10%).
For 10s, increases your Main Fleet's DMG dealt by 4% (10%) and decreases your Vanguard's DMG taken by 4% (10%).",Illustrious µ,,,
Yellow[65],Bang for Your Buck,"When there is at least 1 more Eagle Union ship in the same fleet as this ship or when this ship has sunk 2 or more enemies: increases this ship's TRP and AA by 5% (15%) until the end of the battle. When this ship equips Eagle Union gear: in battle, this ship additionally equips a special Lv.1 (Lv.10) AA gun (Special AA gun DMG is based on the skill's level).
Special AA gun is a ghost gun that has 30 range, 1.038-second cooldown, and deals 65 (142) DMG per shot.",Allen M. Sumner,,,
Yellow[66],Battle Star Fireworks,"Increases this ship's AA and ACC by 5% (15%). After every 2 attacks with this ship's Secondary Guns: increases this ship's AA by 1% (5%) (can stack up to 5 times); when this buff achieves its max stacks, all your ships with a lower AA stat than Guam gain 5% (15%) increased AA until the battle ends.",Guam,,,
Yellow[67],Bilibili Mascot Girl - 22,"When sortied as the Vanguard Fleet Leader (First Slot) and paired with 33, increase Firepower, Reload by 10% (30%) and Evasion by 15% (35%) for both 22 and 33.",22,,,
Yellow[68],Bilibili Mascot Girl - 33,"When sortied as the Vanguard Fleet Leader (First Slot) and paired with 22, increase Torpedo stat by 15% (35%) for both 22 and 33.",33,,,
Yellow[69],Blazing Blitz,Increases the range of torpedoes equipped to this ship to 125 and improves the spread pattern; When this ship fires her torpedoes: 50% (100%) chance to perform an additional Lv.1 (Lv.10) barrage (DMG is based on this skill's level).,Scharnhorst META,,,
Yellow[70],Blazing Choreography,"At the start of the battle: if there is a CV, CVL, or Muse ship in the same fleet: increases this ship's EVA by 5% (15%) and increases your Vanguard's AA by 5% (15%).",Baltimore µ,,,
Yellow[71],Blessed Self,Increases your Sakura Empire DDs' TRP and RLD by 4% (10%) and AA by 6% (20%).,Yura,,,
Yellow[72],Blessings Through Benevolence,"When the battle starts, for each Dragon Empery ship in your fleet: increases this ship's AVI and ACC by 1% (4%). If there is any other Dragon Empery ship in your fleet: decreases this ship's DMG taken by 1% (10%). When this ship launches an airstrike: decreases your Vanguard's DMG taken by 5% (15%) for 8s (does not stack with the skill ""Air Cover"").",Hwah Jah,,,
Yellow[73],Blue Hunter,Increases this boat's DMG against enemy DDs and CLs by 5% (15%).,Bluegill,,,
Yellow[74],Blue-Purple Tenacity,"For the 1st, 2nd, and 3rd battles fought by the fleet this ship is in: increases this ship's FP by 4.5% (12%); from the 4th battle onwards: instead increases this ship's AA by 4.5% (12%). [This skill's sortie battle counter resets when moving to a new area or changing your formation within Operation Siren.]",Tashkent µ,,,
Yellow[75],Bold But Reckless,"When sortieing as Lead Ship, decreases own Anti-Air by 40% and Accuracy by 20% (5%) while increasing own Evasion by 6% (12%), Firepower by 13% (25%) and Speed by 3.",Le Téméraire,,,
Yellow[76],Bold But Reckless+,"Increases this ship's EVA by 6% (12%), FP by 13% (25%), and SPD by 3. Every 20s: 40% (70%) chance to launch a Lv. 1 (Lv. 10) special barrage (DMG is based on the skill's level); if there is another Iris Libre or Vichya Dominion ship in your Vanguard: fires this barrage 3s after the battle starts.",Le Téméraire,,Needs Augment,
Yellow[77],Bounce Right Back,"Decrease the loading time of this ship's first wave of torpedoes by 40% (70%). When this ship takes DMG: 15% chance to increase this ship's FP, EVA, and AA by 1% (5%) until the end of the battle. Can be stacked up to 3 times.",Cheshire,,,
Yellow[78],Bounce Right Back+,"Decreases the loading time of this ship's first 2 waves of torpedoes by 40% (70%). When this ship takes DMG: 15% chance to increase this ship's FP, EVA, and AA by 1% (5%) until the end of the battle. Can be stacked up to 3 times. While this ship's HP is at 80% or higher: increases this ship's DMG dealt with torpedoes by 4% (10%).
(Replaces ""Bounce Right Back"")",Cheshire,,,Needs Fate Sim 5
Yellow[79],"Breathe In, Breathe Out","While this ship has 45% or more HP remaining: increases this ship's FP and AA by 5% (15%). When this ship's HP falls below 45% as a result of DMG taken: decreases this ship's Burn DMG taken by 5% (15%) while below this threshold. Once per battle, when this ship's HP falls below 30%: heals this ship for 4% (10%) of her max HP.",Boise,,,
Yellow[80],Bulwark of Shattered Dreams,"When a ship in your Vanguard takes DMG: 20% (50%) chance to deploy a shield (lasts 10s; can block up to 6 enemy shells; 15s cooldown between activations).
The first time this shield is deployed each battle: increases this ship's EVA by 5% (15%).",Trento META,,,
Yellow[81],Bunbun Scout,"When the battle starts, if this ship has Eagle Union gear or weapons equipped: gains a Lv.1 (Lv.10) special AA gun and decreases this ship's DMG taken from aircraft by 10% (20%).For every 2 enemy aircraft shot down within your fleet's Anti-Air Range: increases this ship's AA by 1% (10%) (can be stacked up to 3 times) and this ship gains 1 stack of Motivation.
When a total of 9 enemy aircraft have been shot down within your fleet's Anti-Air Range: increases the recovery speed of your Main Fleet Eagle Union ships' Detection Gauge by 1 until the battle ends; once per battle, if your Flagship is an Eagle Union ship, also sets that ship's Detection Gauge value to 0 after 10s.",Laffey II,,,
Yellow[82],Calibur's Heart,"When sortied with any Cleveland-class ship, increases own Anti-Air by 5% (15%) and Accuracy by 5% (10%).",Clevelad,,,
Yellow[83],Cards of Beast and Butterfly,"When sortied with Hiryuu or Hiryuu META, or when this ship has at least one Sakura Empire aircraft equipped: increase this ship's AVI by 10.0% (20.0%). When a ship in your vanguard fires her torpedoes: 20.0% (50.0%) chance to increase this ship's damage dealt by 20.0% for 5s.",Souryuu META,,,
Yellow[84],Cards of Light and Dark,Increases this ship's AVI by 10% (20%). Every 20s: launches a randomly chosen airstrike (DMG is based on the skill's level and the airstrike pattern.),Hiryuu META,,,
Yellow[85],Cavalier's Acumen,"Increases this ship's Crit Rate by 5% (15%), DMG dealt to enemy DDs by 5% (20%), and Main Gun shell velocity by 15%. Additionally, decreases the Evasion Rate of enemy DDs by 4% (10%).",Chapayev,,,
Yellow[86],Cinders of Hope - Algérie,Every 9 (6) times this ship fires her Main Guns: fires a special barrage.,Algérie META,,,
Yellow[87],Cinders of Hope - Erebus,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: increases this ship's Crit DMG by 5% (8%).,Erebus META,,,
Yellow[88],Cinders of Hope - Fortune,Every 15 (10) times this ship fires her Main Guns: fires a special barrage.,Fortune META,,,
Yellow[89],Cinders of Hope - Gneisenau,[Operation Siren] When fighting humanoid Siren fleets or boss fleets: increases this ship's Crit DMG by 5% (8%),Gneisenau META,,,
Yellow[90],Cinders of Hope - Hunter,"[Regular]
Every 15 (10) times this ship fires her Main Guns: fires a special barrage.
[Operation Siren]
Every 15 (10) times this ship fires her Main Guns: fires a special barrage. When fighting humanoid Siren fleets or Boss fleets: increases this ship's DMG dealt by 2% (6%).",Hunter META,,,
Yellow[91],Cinders of Hope - Kirov,"Every 12 (8) times this ship fires her Main Guns: fires a special barrage.[Operation Siren]
Every 12 (8) times this ship fires her Main Guns: fires a special barrage. When fighting humanoid Siren fleets or Boss fleets: increases this ship's DMG dealt by 3% (5%).",Kirov META,,,
Yellow[92],Cinders of Hope - La Galissonnière,"Every 12 (8) times this ship fires her Main Guns: fires a special barrage.[Operation Siren]
Every 12 (8) times this ship fires her Main Guns: fires a special barrage. When fighting humanoid Siren fleets or Boss fleets: increases this ship's DMG dealt by 2% (6%).",La Galissonnière META,,,
Yellow[93],Cinders of Hope - Queen Elizabeth,[Operation Siren] When fighting humanoid Siren fleets or Boss fleets: increases this ship's Crit DMG dealt by 5% (8%).,Queen Elizabeth META,,,
Yellow[94],Cleanse Impurity,At the start of the battle: increases this ship's FP and AA by 15% (25%). Every 20s: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level).,Chao Ho,,,
Yellow[95],Code: Hikari,"When entering battle: launches a Saiun plane, then increases damage dealt by the Main Fleet by 5% (10%) for 10s.",I-13,,,
Yellow[96],Codebreaking Game,"When entering battle, provide a random buff Lv.1 (Lv.10) for all Ironblood ship in the fleet. Each buff has a 16.66% chance to activate.Increases Damage dealt by 1.2% (3%)
Decreases Damage taken by 1.2% (3%)
Increases Critical rate and Critical damage dealt by 1.2% (3%)
Increases Evasion by 1.2% (4%)
Increases Accuracy by 1.2% (4%)
Increases Anti-air by 1.2% (4%)",U-110,,,
Yellow[97],Coercion,"Every 30s, reduces damage dealt by enemies by 5% (15%) for 8s.",Tennessee,,,
Yellow[98],Connected,At the start of the battle: increases own Firepower by 1.5% (6%) per Kizuna AI ships other than self (can be stacked up to 4 times). If there are no other Kizuna AIs in your fleet: decreases damage taken by 5% (15%) for 30s after battle starts.,Elegant Kizuna AI,,,
Yellow[99],Covenant of the Immortal Knights,"When entering combat:Increase own FP and RLD stats by 4.5% (12%) until the end of battle.
If sortied with another King George V-class ship, Monarch, or any two other Royal Navy ships (not counting herself), increase own FP and AA stats by an additional 4.5% (12%) until the end of battle.",Howe,,,
Yellow[100],Covering Formation,For each Eagle Union CV or CVL in the same fleet as this ship: increases this ship's AVI and AA by 1.5% (5%). Each time this ship's planes shoot down an enemy plane: increases this ship's AVI by 1% (3%). Can be stacked up to 5 times.,Essex,,,
Yellow[101],Crescent City Bonds,"At the start of the battle, if this ship is in the frontmost position of your Vanguard and there are 3 ships afloat in your Vanguard: decreases this ship's DMG taken by 1% (10%) and increases DMG dealt by 1% (10%) for the ship in the center position of your Vanguard.",New Orleans,,,
Yellow[102],Crimson God's Protection,When this ship launches an Airstrike: grants 100% Evasion Rate for 2s (5s) to the ship in your Vanguard which has the lowest percentage of their HP remaining.,Akagi-chan,,,
Yellow[103],Crimson Overture,Decreases the loading time of this ship's first Airstrike by 20% (40%). Increases this ship's AVI by 1% (10%) for each additional μ ship in the same fleet as this ship (can be stacked up to 4 times.),Akagi µ,,,
Yellow[104],Critical Component Protection,"Damage taken from CL/DD's gun damage reduced by 5% (15%); if vanguard has only CL/CA ships, increase self speed by 4 and evasion by 5% (15%).",La Galissonnière,,,
Yellow[105],Crush Any Contender!,"As long as this ship is afloat:When this ship takes DMG, or when an enemy comes within close range of this ship, fire a special barrage (DMG is based on the skill's level). This barrage has a cooldown of 15s between activations.
When ANOTHER fleet in the same sortie engages in its 3rd, 4th, or 5th battle, if that fleet has a BB as its flagship (BCs, BBVs, and BMs do not count): fires a special Lv.1 (Lv.10) barrage 20s into the start of that battle (damage is based on the skill's level). In Operation Siren, this barrage is limited to the 3rd and 4th battle.
[This skill's sortie battle counter resets when moving to a new area or changing your formation within Operation Siren.]",Tosa,,,
Yellow[106],Crystals of the Great River,"Every 20s: selects the lowest HP percentage ship in your fleet, and afterwards 2 randomly chosen ships in your fleet, and recovers HP for the ship(s) equal to 1% (5%) of this ship's max HP (it is possible for a ship to receive multiple heals). After this effect activates: spawns a Lv.1 (Lv.10) summon that explodes, dealing DMG to enemies (DMG is based on the skill's level and this ship's AVI stat).",Volga,,,
Yellow[107],Cursed Outset,"This ship ignores the effects of the Out of Ammo debuff. During a battle, decreases the loading time of this ship's first 3 Main Gun Salvo by 50%. This ship's 1st and 2nd salvo deal 60% and 80% DMG respectively, and the 3rd and onward deals 100% (120%) DMG.",Yamashiro META,,,
Yellow[108],Darjeeling Rotation,"Every 15s switch between following effects:Reduces damage taken by 6% (20%)
Increases damage dealt by 6% (20%)
Every 3s restore 6 (15) HP",Green Heart,,,
Yellow[109],Dark Side of Fate,"When sortie with other J-Class destroyers in same fleet, reduce damage taken by other J-Class destroyers by 8% (20%), and take 8% (20%) more damage.",Jersey,,,
Yellow[110],Darkness Field,"Decreases this ship's DMG taken from Burning and from Bombing Ships by 20% (40%) and decreases its DMG taken from HE ammo by 5% (15%). Also increases this ship's Secondary Gun Crit Rate by 40% (70%) and makes it ignore enemy armor type (Armor modifier is based on the skill's level.)
(With this skill, York's Secondary Guns have 95/95/95 (150/150/150) modifiers.)",York,Needs Retrofit,,
Yellow[111],Defense Order,Every 20s: 25% chance to reduce damage taken by all ships in the fleet by 5% (15%) for 8s. Does not stack with the same skill.,Exeter,,,
Yellow[112],Defense Order,Every 20s: 25% chance to reduce damage taken by all ships in the fleet by 5% (15%) for 8s. Does not stack with the same skill.,Portland,,,
Yellow[113],Delectable Delicacies,1s after this ship fires her torpedoes: fires another wave of torpedoes (the torpedoes fired are the same as this ship's equipped torpedoes). Increases this ship's TRP and EVA by 5% (15%) and decreases her DMG taken by 15% (30%).,Lung Wu,,,
Yellow[114],Descend Upon a Nightmare,"Increases this ship's FP and ACC by 10% (20%). When this ship fires her Main Guns: 30% (60%) chance to restore 5% max HP to the ship with the lowest HP percentage in your fleet; if this effect does not activate, and your Flagship is a META ship: increases your Flagship's DMG dealt by 8% for 10s.",Erebus META,,,
Yellow[115],Destroyer Squadron,"During sortie, if your Vanguard consists of only this ship and destroyers: increases this ship's Speed by 4 and increases the damage it deals to enemy destroyers and light cruisers by 5% (20%)",Émile Bertin,,,
Yellow[116],Destruction Bolt,"Every 20s after the start of battle: launches a Lv.1 (Lv.10) special barrage with a special Swordfish airstrike (DMG is based on the skill's level) that reduces the AA of enemies hit by 8% for 5s, and increases the DMG dealt by destroyers and Royal Navy Vanguard ships by 1% (10%) for 8s.",Ark Royal,Needs Retrofit,,
Yellow[117],Devotion to Precision,"Increases this ship's FP and ACC by 5% (15%). When this ship attacks an enemy DD, her ACC further increases by 1% (10%).",Yorck,,,
Yellow[118],Dido's Aria,"Increase the FP, TRP and AA of all your Dido-class CLs by 5% (15%). At the start of the battle: increase this ship's AA, ACCIngame doesn't mention this.

 and EVA by 5% (15%) for 30s.",Dido,,,
Yellow[119],Disruption Wave,Every 15s: fires a Lv.1 (Lv.10) special torpedo barrage (DMG is based on the skill's level). Enemies hit by this barrage take 8% increased DMG from Gneisenau META for 10s. Whenever this skill activates or whenever this ship sinks an enemy: increases this ship's Crit Rate by 1.2% (3%) (can be stacked up to 3 times).,Gneisenau META,,,
Yellow[120],Don't Mess With My Best Buds!,"When this ship fires her Main Guns: 45% (75%) chance to fire a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). When this special barrage fires: increases your Kii-class BBs' DMG dealt by 4% (10%) for 10s. If your Flagship meets any one of the following criteria, this barrage's activation chance increases by 25%:She is a Sakura Empire ship;
She is a BB, BC, or BBV;
She has received the Best Buds trait at least once during the battle.",Owari,,,
Yellow[121],Don't Move An Inch!,"When launching an Airstrike: 50% (80%) chance to reduce the Speed of all enemies to 0 for 0.5s (1.5s). After that, enemy ships will regain their Speed during the next 2.5s. This skill always activates on the first airstrike of each battle.",Formidable,,,
